"date","publisher","Trump","Sanders","Biden","Warren","Buttigieg","Bloomberg","Klobuchar","Yang","Steyer","Gabbard"
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,1,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",0,0,1,0,0,0,1,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",0,1,1,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,1,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",0,0,0,0,0,1,0,0,0,0
"2020-03-18","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",0,0,0,0,0,0,0,1,0,0
"2020-03-18","Breitbart",1,1,1,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",0,1,1,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",0,1,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,1,1,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,1,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",0,1,1,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,1,1,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-18","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,1,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,1,1,0,0,0,0,0,0,1
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-19","Breitbart",0,0,1,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,1,0,0,1,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,1,1,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,1,1,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",0,1,1,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,1,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-19","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,1,1,0,0,0,0,1,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
